"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","531","test_search_product[Dress]","tests.ui","2026-05-06","passed","2026-05-06","TestSearchProduct","test_search_product","",""
"","432","test_login_with_invalid_credentials[test@example.com-wrongpassword]","tests.ui","2026-05-06","passed","2026-05-06","TestLogin","test_auth","",""
"","138","test_home_page_elements_visibility","tests.ui","2026-05-06","passed","2026-05-06","TestHome","test_home","",""
"","452","test_verify_hm_brand_products","tests.ui","2026-05-06","passed","2026-05-06","TestBrands","test_brand","",""
"","3729","test_register_and_login_and_place_order_and_verify_success[Please deliver fast-Test User-4111111111111111-123-12-2030]","tests.ui","2026-05-06","passed","2026-05-06","TestCheckout","test_checkout","",""
"","1727","test_remove_product_from_cart","tests.ui","2026-05-06","passed","2026-05-06","TestCart","test_cart","",""
"","572","test_give_product_review[zia-zia@gmail.com-product is very nice and good quality]","tests.ui","2026-05-06","passed","2026-05-06","TestProductClass","test_product","",""
"","477","test_user_login","tests.ui","2026-05-06","passed","2026-05-06","TestLogin","test_auth","",""
"","541","test_search_product[Men Tshirt]","tests.ui","2026-05-06","passed","2026-05-06","TestSearchProduct","test_search_product","",""
"","783","test_verify_product_quantity_in_cart","tests.ui","2026-05-06","passed","2026-05-06","TestCart","test_cart","",""
"","371","test_email_subscription_on_cart_page","tests.ui","2026-05-06","passed","2026-05-06","TestEmailSubscription","test_email_subscription","",""
"","533","test_search_product[Blue Top]","tests.ui","2026-05-06","passed","2026-05-06","TestSearchProduct","test_search_product","",""
"","3423","test_login_and_place_order_and_verify_success[Please deliver fast-Test User-4111111111111111-123-12-2030]","tests.ui","2026-05-06","passed","2026-05-06","TestCheckout","test_checkout","",""
"","570","test_verify_polo_brand_products","tests.ui","2026-05-06","passed","2026-05-06","TestBrands","test_brand","",""
"","3781","test_register_and_login_and_place_order_and_verify_address[Please deliver fast-Test User-4111111111111111-123-12-2030]","tests.ui","2026-05-06","passed","2026-05-06","TestCheckout","test_checkout","",""
"","31196","test_search_product[Blue Top]","tests.ui","2026-05-06","broken","2026-05-06","TestSearchProduct","test_e2e__search_cart_login","",""
"","583","test_product","tests.ui","2026-05-06","passed","2026-05-06","TestProductClass","test_product","",""
"","940","test_user_logout","tests.ui","2026-05-06","passed","2026-05-06","TestLogin","test_auth","",""
"","225","test_email_subscription","tests.ui","2026-05-06","passed","2026-05-06","TestEmailSubscription","test_email_subscription","",""
"","496","test_add_to_cart_recommended_products","tests.ui","2026-05-06","passed","2026-05-06","TestCart","test_cart","",""
"","1003","test_user_registration","tests.ui","2026-05-06","failed","2026-05-06","TestRegistration","test_auth","",""
"","437","test_registeration_with_existing_email","tests.ui","2026-05-06","passed","2026-05-06","TestRegistration","test_auth","",""
"","2786","test_add_to_cart_first_and_second_product_and_verify","tests.ui","2026-05-06","passed","2026-05-06","TestCart","test_cart","",""
"","31134","test_place_order_and_verify_success[Please deliver fast-Test User-4111111111111111-123-12-2030]","tests.ui","2026-05-06","broken","2026-05-06","TestCheckout","test_checkout","",""
"","867","test_contact_us_form_submission[Test User-test@example.com-Test Subject-Test Message for contact us form submission-test-file.pdf]","tests.ui","2026-05-06","passed","2026-05-06","TestContactUs","test_contact_us","",""
"","3811","test_register_and_login_and_place_order_and_download_invoice[Please deliver fast-Test User-4111111111111111-123-12-2030]","tests.ui","2026-05-06","passed","2026-05-06","TestCheckout","test_checkout","",""
"","227","test_cases","tests.ui","2026-05-06","passed","2026-05-06","TestTestCases","test_test_cases","",""
"","542","test_verify_product_categories","tests.ui","2026-05-06","passed","2026-05-06","TestCategories","test_category","",""
